technology,year,parameter,value,unit,source,further description
Ammonia cracker,2050,FOM,4.3,%/year,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",
Ammonia cracker,2050,investment,582504.44,EUR/MW_H2,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 6.",
Ammonia cracker,2050,lifetime,25,years,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",
BioSNG,2050,C in fuel,0.38,per unit,Stoichiometric calculation,
BioSNG,2050,C stored,0.62,per unit,Stoichiometric calculation,
BioSNG,2050,CO2 stored,0.23,tCO2/MWh_th,Stoichiometric calculation,
BioSNG,2050,FOM,1.61,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Fixed O&M"
BioSNG,2050,VOM,1.6,EUR/MWh_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Variable O&M"
BioSNG,2050,capture rate,0.98,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
BioSNG,2050,efficiency,0.7,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Bio SNG"
BioSNG,2050,investment,1500,EUR/kW_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Specific investment"
BioSNG,2050,lifetime,25,years,TODO,"84 Gasif. CFB, Bio-SNG:  Technical lifetime"
BtL,2050,C in fuel,0.32,per unit,Stoichiometric calculation,
BtL,2050,C stored,0.68,per unit,Stoichiometric calculation,
BtL,2050,CO2 stored,0.25,tCO2/MWh_th,Stoichiometric calculation,
BtL,2050,FOM,3,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Fixed O&M"
BtL,2050,VOM,1.06,EUR/MWh_FT,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Variable O&M"
BtL,2050,capture rate,0.98,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
BtL,2050,efficiency,0.45,per unit,doi:10.1016/j.enpol.2017.05.013,
BtL,2050,investment,2000,EUR/kW_th,doi:10.1016/j.enpol.2017.05.013,"85 Gasif. Ent. Flow FT, liq fu :  Specific investment"
BtL,2050,lifetime,25,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Technical lifetime"
CCGT,2050,FOM,3.25,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Fixed O&M"
CCGT,2050,VOM,4,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Variable O&M"
CCGT,2050,c_b,2.2,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cb coefficient"
CCGT,2050,c_v,0.15,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cv coefficient"
CCGT,2050,efficiency,0.6,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Electricity efficiency, annual average"
CCGT,2050,investment,800,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Nominal investment"
CCGT,2050,lifetime,25,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Technical lifetime"
CH4 (g) fill compressor station,2050,FOM,1.7,%/year,Assume same as for H2 (g) fill compressor station.,
CH4 (g) fill compressor station,2050,investment,1654.96,EUR/MW_CH4,"Guesstimate, based on H2 (g) pipeline and fill compressor station cost.",
CH4 (g) fill compressor station,2050,lifetime,20,years,Assume same as for H2 (g) fill compressor station.,
CH4 (g) pipeline,2050,FOM,1.5,%/year,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,
CH4 (g) pipeline,2050,investment,87.22,EUR/MW/km,Guesstimate.,
CH4 (g) pipeline,2050,lifetime,50,years,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,
CH4 (g) submarine pipeline,2050,FOM,3,%/year,"d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",
CH4 (g) submarine pipeline,2050,investment,126.85,EUR/MW/km,Kaiser (2017): 10.1016/j.marpol.2017.05.003 .,
CH4 (g) submarine pipeline,2050,lifetime,30,years,"d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",
CH4 (l) transport ship,2050,FOM,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,2050,capacity,58300,t_CH4,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,2050,investment,166716201.3,EUR,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,2050,lifetime,25,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,2050,FOM,3.5,%/year,"Lochner and Bothe (2009): https://doi.org/10.1016/j.enpol.2008.12.012 and Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,2050,investment,96.71,EUR/kW_CH4,"Calculated, based on Lochner and Bothe (2009): https://doi.org/10.1016/j.enpol.2008.12.012 and Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,2050,lifetime,30,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,2050,FOM,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,2050,investment,256.29,EUR/kW_CH4,"Calculated, based on Lochner and Bothe (2009): https://doi.org/10.1016/j.enpol.2008.12.012 and Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,2050,lifetime,25,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CO2 liquefaction,2050,FOM,5,%/year,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,
CO2 liquefaction,2050,investment,17.7,EUR/t_CO2/h,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,
CO2 liquefaction,2050,lifetime,25,years,"Guesstimate, based on CH4 liquefaction.",
CO2 pipeline,2050,FOM,0.9,%/year,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 pipeline,2050,investment,2208.16,EUR/(tCO2/h)/km,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 pipeline,2050,lifetime,50,years,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 storage tank,2050,FOM,1,%/year,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 .",
CO2 storage tank,2050,investment,2791.31,EUR/t_CO2,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, Table 3.",
CO2 storage tank,2050,lifetime,25,years,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 .",
CO2 submarine pipeline,2050,FOM,0.5,%/year,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 submarine pipeline,2050,investment,4416.32,EUR/(tCO2/h)/km,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
FT fuel transport ship,2050,FOM,5,%/year,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
FT fuel transport ship,2050,capacity,75000,t_FTfuel,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
FT fuel transport ship,2050,investment,35000000,EUR,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
FT fuel transport ship,2050,lifetime,15,years,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
Fischer-Tropsch,2050,FOM,3,%/year,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), section 6.3.2.1.",
Fischer-Tropsch,2050,capture rate,0.98,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
Fischer-Tropsch,2050,efficiency,0.8,per unit,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), section 6.3.2.2.",
Fischer-Tropsch,2050,investment,530604,EUR/MW_FT,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: “Reference scenario”.",
Fischer-Tropsch,2050,lifetime,20,years,"Danish Energy Agency, Technology Data for Renewable Fuels (04/2022), Data sheet “Methanol to Power”.",
Gasnetz,2050,FOM,2.5,%,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz
Gasnetz,2050,investment,28,EUR/kWGas,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz
Gasnetz,2050,lifetime,30,years,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz
General liquid hydrocarbon storage (crude),2050,FOM,6.25,%/year,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 .",
General liquid hydrocarbon storage (crude),2050,investment,149.97,EUR/m^3,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F .",
General liquid hydrocarbon storage (crude),2050,lifetime,30,years,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11.",
General liquid hydrocarbon storage (product),2050,FOM,6.25,%/year,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 .",
General liquid hydrocarbon storage (product),2050,investment,187.47,EUR/m^3,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F .",
General liquid hydrocarbon storage (product),2050,lifetime,30,years,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11.",
H2 (g) fill compressor station,2050,FOM,1.7,%/year,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)",
H2 (g) fill compressor station,2050,investment,4944.07,EUR/MW_H2,"Danish Energy Agency, Technology Data for Energy Transport (2021), pg. 164, Figure 14 (Fill compressor).",
H2 (g) fill compressor station,2050,lifetime,20,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), pg. 168, Figure 24 (Fill compressor).",
H2 (g) pipeline,2050,FOM,1.5,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",
H2 (g) pipeline,2050,investment,250.04,EUR/MW/km,European Hydrogen Backbone Report (June 2021): https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021.pdf.,
H2 (g) pipeline,2050,lifetime,50,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",
H2 (g) pipeline repurposed,2050,FOM,1.5,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",
H2 (g) pipeline repurposed,2050,investment,116.9,EUR/MW/km,European Hydrogen Backbone Report (June 2021): https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021.pdf.,
H2 (g) pipeline repurposed,2050,lifetime,50,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",
H2 (g) submarine pipeline,2050,FOM,3,%/year,Assume same as for CH4 (g) submarine pipeline.,
H2 (g) submarine pipeline,2050,investment,363.65,EUR/MW/km,"Assume similar cost as for CH4 (g) submarine pipeline but with the same factor as between onland CH4 (g) pipeline and H2 (g) pipeline (2.86). This estimate is comparable to a 36in diameter pipeline calaculated based on d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material (=251 EUR/MW/km).",
H2 (g) submarine pipeline,2050,lifetime,30,years,Assume same as for CH4 (g) submarine pipeline.,
H2 (l) storage tank,2050,FOM,2,%/year,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",
H2 (l) storage tank,2050,investment,828.14,EUR/MWh_H2,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",
H2 (l) storage tank,2050,lifetime,20,years,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",
H2 (l) transport ship,2050,FOM,4,%/year,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,2050,capacity,11000,t_H2,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,2050,investment,398820000,EUR,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,2050,lifetime,20,years,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 evaporation,2050,FOM,2.5,%/year,"DNV GL (2020): Study on the Import of Liquid Renewable Energy: Technology Cost Assessment, https://www.gie.eu/wp-content/uploads/filr/2598/DNV-GL_Study-GLE-Technologies-and-costs-analysis-on-imports-of-liquid-renewable-energy.pdf .",
H2 evaporation,2050,investment,62.48,EUR/kW_H2,"IRENA (2022): Global Hydrogen Trade to Meet the 1.5° Climate Goal: Technology Review of Hydrogen Carriers, https://www.irena.org/publications/2022/Apr/Global-hydrogen-trade-Part-II , pg. 62f.",
H2 evaporation,2050,lifetime,20,years,Guesstimate.,
H2 liquefaction,2050,FOM,2.5,%/year,"DNV GL (2020): Study on the Import of Liquid Renewable Energy: Technology Cost Assessment, https://www.gie.eu/wp-content/uploads/filr/2598/DNV-GL_Study-GLE-Technologies-and-costs-analysis-on-imports-of-liquid-renewable-energy.pdf .",
H2 liquefaction,2050,investment,576.7,EUR/kW_H2,"IRENA (2022): Global Hydrogen Trade to Meet the 1.5° Climate Goal: Technology Review of Hydrogen Carriers, https://www.irena.org/publications/2022/Apr/Global-hydrogen-trade-Part-II , pg. 62f.",
H2 liquefaction,2050,lifetime,20,years,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",
H2 pipeline,2050,FOM,3,%/year,TODO, from old pypsa cost assumptions
H2 pipeline,2050,investment,267,EUR/MW/km,Welder et al https://doi.org/10.1016/j.energy.2018.05.059, from old pypsa cost assumptions
H2 pipeline,2050,lifetime,40,years,TODO, from old pypsa cost assumptions
HVAC overhead,2050,FOM,2,%/year,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",
